MovieID,Name,Date_Added,Release_Year,Rating,Duration(minutes),Description
80,Crocodile Dundee in Los Angeles,"September 1, 2021",2001,PG,95,"When Mick ""Crocodile"" Dundee and his family land in Los Angeles, they soon learn some lessons about American life in this comedy sequel."
81,Dear John,"September 1, 2021",2010,PG-13,108,"While on summer leave, a U.S. soldier falls for a college student. But when he's forced to reenlist, their handwritten letters hold the lovers together."
82,Do the Right Thing,"September 1, 2021",1989,R,120,"On a sweltering day in Brooklyn, simmering racial tensions between residents rise to the surface and ignite rage, violence and tragedy."
83,"El patrón, radiografía de un crimen","September 1, 2021",2014,TV-MA,100,A lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in Buenos Aires led to tragedy. Based on a true case.
84,Extraction,"September 1, 2021",2015,R,82,"When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot."
85,Freedom Writers,"September 1, 2021",2007,PG-13,124,"While her at-risk students are reading classics such as ""The Diary of Anne Frank,"" a teacher asks them to keep journals about their troubled lives."
86,Green Lantern,"September 1, 2021",2011,PG-13,114,Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat.
87,House Party,"September 1, 2021",1990,R,104,"Grounded by his strict father, Kid risks life and limb to go to his best friend Play's big bash but experiences one obstacle after another."
88,House Party 2,"September 1, 2021",1991,R,94,"Kid goes off to college with scholarship money but when Play loses Kid's tuition funds to a shady music promoter, they devise a wild plan to raise cash."
89,House Party 3,"September 1, 2021",1994,R,94,"After Kid gets engaged, Play plans to throw the biggest bachelor party ever. But every celebration for these two always comes with complications."
90,I Got the Hook Up,"September 1, 2021",1998,R,93,"After getting their hands on a misdirected shipment of cell phones, two hustlers try to cash in by hawking the merchandise from the back of their van."
91,In Too Deep,"September 1, 2021",1999,R,97,"Rookie cop Jeffrey Cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery, intimidation and murder."
92,Initial D,"September 1, 2021",2005,TV-14,109,"By day, an 18-year-old delivers tofu for his father, a retired race car driver; but by night, it's the teen's turn to take the wheel."
93,Janoskians: Untold and Untrue,"September 1, 2021",2016,TV-MA,88,Follow the story of three Australian brothers and their two friends who became an international sensation by posting pranks and gags on YouTube.
94,Labyrinth,"September 1, 2021",1986,PG,101,"In Jim Henson's fantasy, teen Sarah embarks on a life-altering quest to rescue her little brother from the clutches of a treacherous goblin."
